id,name,photo_link,price_rating,opening_hours,rating,votes_count,address_id
1,Coffee and the City,https://i.postimg.cc/NFhKpgP7/coffee-and-the-city.jpg,2,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00,4.8,120,1
2,Kashtan Coffee,https://i.postimg.cc/sXj61rJN/kastan-coffee.png,1,Mo-Fr 09:00-21:00; Sa-Su 10:00-21:00,4.5,85,2
3,Something Interesting,https://i.postimg.cc/kXbcJGm8/something-interesting.jpg,3,Mo-Th 07:30-23:00; Fr-Sa 07:30-23:30; Su 08:00-23:00,4.7,200,3
4,Black Honey,https://i.postimg.cc/8znMLVNP/black-honey.jpg,2,Mo-Su 08:00-22:00,4.6,150,4
5,Beige Bistro,https://i.postimg.cc/66LZYZtd/biege-bistro.png,3,Mo-Fr 10:00-23:00; Sa-Su 09:00-23:00,4.4,90,5
6,Makers Coffee,https://i.postimg.cc/SRDJqWxv/makers-coffee.jpg,1,Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 08:00-18:00,4.3,75,6
7,Atelier. Design & Coffee,https://i.postimg.cc/XNTYffkh/atelier-design-and-coffee.jpg,3,Mo-Su 08:00-20:00,4.7,150,7
8,White Whale,https://i.postimg.cc/R0Fm5hTY/white-whale.jpg,2,Mo-Su 08:00-23:00,4.8,210,8
9,Zheto,https://i.postimg.cc/VvjQBCY1/zheto.jpg,3,Mo-Su 08:30-23:00,4.9,320,9
10,One Love Coffee,https://i.postimg.cc/qvBVyqWM/one-love-coffee.jpg,4,Mo-Su 10:00-22:00,4.6,400,10
11,Takava Coffee-Buffet,https://i.postimg.cc/7LcpFVhx/takava.jpg,3,Mo-Su 09:00-22:00,4.5,180,11
12,Blur Coffee,https://i.postimg.cc/MGhFPp3G/blur-coffee.jpg,2,Mo-Fr 08:00-21:00; Sa-Su 09:00-21:00,4.7,250,12
13,Svit Kavy,https://i.postimg.cc/Hs91rXZQ/svit-kavy.jpg,3,Mo-Su 08:00-23:00,4.8,500,13
14,Lviv Coffee Manufacture,https://i.postimg.cc/y88tW532/lviv-coffee-manufacture.jpg,2,Mo-Su 08:00-22:00,4.6,600,14
15,Virmenka,https://i.postimg.cc/SRbHsxWh/virmenka.jpg,1,Mo-Su 09:00-23:00,4.8,300,15
16,LyaTyuSho,https://i.postimg.cc/qM09HgJr/lyatyusho.jpg,2,Mo-Su 08:00-22:00,4.7,120,16
